Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/analytics/wla?workspace_id=ws-2bdca799,1,0,17.131400003563613,17.131400003563613,17.131400003563613,17.131400003563613,306.0,0.03385002476869071,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/analytics/wla?workspace_id=ws-518c890e,2,0,6.184699988807552,6.239499998628162,6.184699988807552,6.294300008448772,306.0,0.06770004953738142,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/analytics/wla?workspace_id=ws-6440dfa7,2,0,4.378300000098534,7.1479999969596975,4.378300000098534,9.917699993820861,306.0,0.06770004953738142,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/analytics/wla?workspace_id=ws-8c84b75d,1,0,16.96740000625141,16.96740000625141,16.96740000625141,16.96740000625141,306.0,0.03385002476869071,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/analytics/wla?workspace_id=ws-9662e822,1,0,20.16400000138674,20.16400000138674,20.16400000138674,20.16400000138674,306.0,0.03385002476869071,0.0,20,20,20,20,20,20,20,20,20,20,20
GET,/analytics/wla?workspace_id=ws-a30c1f5c,3,0,8,8.77073333443453,6.840400004875846,11.13420000183396,306.0,0.10155007430607213,0.0,8,8,11,11,11,11,11,11,11,11,11
GET,/analytics/wla?workspace_id=ws-a3e42319,2,0,8,8.124649997625966,7.787399998051114,8.461899997200817,306.0,0.06770004953738142,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/analytics/wla?workspace_id=ws-ad3b55ee,1,0,7.051199994748458,7.051199994748458,7.051199994748458,7.051199994748458,306.0,0.03385002476869071,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/analytics/wla?workspace_id=ws-b9ab339b,3,0,10,10.540099998858446,8.20890000613872,13.842899992596358,306.0,0.10155007430607213,0.0,10,10,14,14,14,14,14,14,14,14,14
GET,/analytics/wla?workspace_id=ws-bb27463f,1,0,6.153499998617917,6.153499998617917,6.153499998617917,6.153499998617917,306.0,0.03385002476869071,0.0,6,6,6,6,6,6,6,6,6,6,6
